Date,NAV
20-01-2017,8.27
23-01-2017,8.29
24-01-2017,8.27
25-01-2017,8.34
26-01-2017,8.32
27-01-2017,8.30
30-01-2017,8.20
31-01-2017,8.25
01-02-2017,8.33
02-02-2017,8.34
03-02-2017,8.37
06-02-2017,8.32
07-02-2017,8.30
08-02-2017,8.36
09-02-2017,8.37
10-02-2017,8.46
13-02-2017,8.56
14-02-2017,8.59
15-02-2017,8.67
16-02-2017,8.70
17-02-2017,8.69
21-02-2017,8.81
22-02-2017,8.76
23-02-2017,8.74
24-02-2017,8.67
27-02-2017,8.65
28-02-2017,8.63
01-03-2017,8.66
02-03-2017,8.63
03-03-2017,8.62
06-03-2017,8.59
07-03-2017,8.61
08-03-2017,8.59
09-03-2017,8.50
10-03-2017,8.52
13-03-2017,8.60
14-03-2017,8.57
15-03-2017,8.60
16-03-2017,8.72
17-03-2017,8.72
20-03-2017,8.67
21-03-2017,8.54
22-03-2017,8.44
23-03-2017,8.44
24-03-2017,8.46
27-03-2017,8.45
28-03-2017,8.53
29-03-2017,8.56
30-03-2017,8.51
31-03-2017,8.54
03-04-2017,8.52
04-04-2017,8.54
05-04-2017,8.48
06-04-2017,8.50
07-04-2017,8.50
10-04-2017,8.53
11-04-2017,8.56
12-04-2017,8.52
13-04-2017,8.46
17-04-2017,8.54
18-04-2017,8.49
19-04-2017,8.45
20-04-2017,8.45
21-04-2017,8.39
24-04-2017,8.48
25-04-2017,8.54
26-04-2017,8.50
27-04-2017,8.44
28-04-2017,8.48
01-05-2017,8.53
02-05-2017,8.60
03-05-2017,8.63
04-05-2017,8.55
05-05-2017,8.64
08-05-2017,8.60
09-05-2017,8.65
10-05-2017,8.67
11-05-2017,8.62
12-05-2017,8.63
15-05-2017,8.72
16-05-2017,8.73
17-05-2017,8.63
18-05-2017,8.47
19-05-2017,8.56
22-05-2017,8.58
23-05-2017,8.61
24-05-2017,8.67
25-05-2017,8.71
26-05-2017,8.67
30-05-2017,8.69
